"time","open","high","low","close","volume"
"2024-06-22T00:00:00.000Z","2.23600000","2.23600000","2.18200000","2.18200000","22.54000000"
"2024-06-21T00:00:00.000Z","2.31300000","2.32600000","2.23800000","2.24800000","203.20000000"
"2024-06-20T00:00:00.000Z","2.32600000","2.37200000","2.28100000","2.28100000","151.24000000"
"2024-06-19T00:00:00.000Z","2.28100000","2.32600000","2.20200000","2.29500000","337.22000000"
"2024-06-18T00:00:00.000Z","2.37200000","2.37200000","2.10700000","2.23600000","1586.38000000"
"2024-06-17T00:00:00.000Z","2.88000000","2.93900000","2.33900000","2.42000000","1624.55000000"
"2024-06-16T00:00:00.000Z","2.46800000","2.93900000","2.45600000","2.87900000","912.33000000"
"2024-06-15T00:00:00.000Z","2.55400000","2.59700000","2.51700000","2.56700000","62.52000000"
"2024-06-14T00:00:00.000Z","2.63600000","2.72400000","2.46800000","2.51700000","171.62000000"
"2024-06-13T00:00:00.000Z","2.86000000","2.86000000","2.67100000","2.67100000","565.77000000"
"2024-06-12T00:00:00.000Z","2.82500000","3.04900000","2.75400000","2.85800000","353.93000000"
"2024-06-11T00:00:00.000Z","3.11300000","3.12800000","2.76600000","2.89000000","339.15000000"
"2024-06-10T00:00:00.000Z","3.43900000","3.45700000","3.12800000","3.12800000","328.92000000"
"2024-06-09T00:00:00.000Z","3.38500000","3.51100000","3.21500000","3.35400000","289.03000000"
"2024-06-08T00:00:00.000Z","3.31900000","3.54400000","3.26600000","3.26600000","344.43000000"
"2024-06-07T00:00:00.000Z","3.53900000","3.68800000","2.98600000","3.25000000","2771.62000000"
"2024-06-06T00:00:00.000Z","3.38500000","3.52900000","3.31900000","3.52900000","523.19000000"
"2024-06-05T00:00:00.000Z","3.22100000","3.38500000","3.22100000","3.35900000","128.32000000"
"2024-06-04T00:00:00.000Z","3.25400000","3.40700000","3.05600000","3.31500000","837.80000000"
"2024-06-03T00:00:00.000Z","3.19000000","3.49500000","3.14600000","3.25400000","587.74000000"
"2024-06-02T00:00:00.000Z","2.95300000","3.19000000","2.95300000","3.19000000","654.78000000"
"2024-06-01T00:00:00.000Z","3.07700000","3.07700000","3.00700000","3.00700000","82.98000000"
"2024-05-31T00:00:00.000Z","2.99600000","3.07700000","2.78000000","3.07700000","809.18000000"
"2024-05-30T00:00:00.000Z","3.14300000","3.19600000","2.78000000","3.02700000","941.11000000"
"2024-05-29T00:00:00.000Z","3.00700000","3.38500000","2.90500000","3.08200000","1049.57000000"
"2024-05-28T00:00:00.000Z","3.10900000","3.23000000","2.85800000","3.09000000","827.26000000"
"2024-05-27T00:00:00.000Z","2.76400000","3.25300000","2.76400000","3.12800000","786.67000000"
"2024-05-26T00:00:00.000Z","2.72900000","2.76600000","2.66800000","2.68300000","185.57000000"
"2024-05-25T00:00:00.000Z","2.81100000","2.89700000","2.72400000","2.79900000","172.34000000"
"2024-05-24T00:00:00.000Z","2.89000000","2.94500000","2.69200000","2.80400000","578.78000000"
"2024-05-23T00:00:00.000Z","2.73700000","2.98600000","2.70700000","2.86600000","925.08000000"
"2024-05-22T00:00:00.000Z","2.64700000","2.85200000","2.60100000","2.70000000","1401.43000000"
"2024-05-21T00:00:00.000Z","2.60300000","2.68700000","2.57100000","2.64100000","385.59000000"
"2024-05-20T00:00:00.000Z","2.51700000","2.64700000","2.42000000","2.64700000","387.55000000"
"2024-05-19T00:00:00.000Z","2.54500000","2.54500000","2.46800000","2.46800000","597.19000000"
"2024-05-18T00:00:00.000Z","2.55000000","2.64600000","2.53700000","2.53700000","82.91000000"
"2024-05-17T00:00:00.000Z","2.49200000","2.60900000","2.46700000","2.55200000","758.09000000"
"2024-05-16T00:00:00.000Z","2.34200000","2.49100000","2.32400000","2.49100000","564.77000000"
"2024-05-15T00:00:00.000Z","2.14900000","2.39500000","2.13000000","2.34200000","711.22000000"
"2024-05-14T00:00:00.000Z","2.25000000","2.25000000","2.16100000","2.16100000","108.71000000"
"2024-05-13T00:00:00.000Z","2.28100000","2.33200000","2.19200000","2.26200000","192.07000000"
"2024-05-12T00:00:00.000Z","2.36300000","2.45500000","2.28700000","2.28700000","266.89000000"
"2024-05-11T00:00:00.000Z","2.34400000","2.46800000","2.30000000","2.30300000","332.04000000"
"2024-05-10T00:00:00.000Z","2.51700000","2.52900000","2.29700000","2.29700000","2295.95000000"
"2024-05-09T00:00:00.000Z","2.56700000","2.76800000","2.42000000","2.51200000","1077.26000000"
"2024-05-08T00:00:00.000Z","2.27300000","2.67700000","2.24600000","2.50300000","2710.62000000"
"2024-05-07T00:00:00.000Z","2.32600000","2.39700000","2.28100000","2.28100000","138.67000000"
"2024-05-06T00:00:00.000Z","2.49100000","2.51100000","2.34200000","2.34200000","214.32000000"
"2024-05-05T00:00:00.000Z","2.38000000","2.51400000","2.36200000","2.43600000","204.73000000"
"2024-05-04T00:00:00.000Z","2.40700000","2.42000000","2.33100000","2.37600000","660.22000000"
"2024-05-03T00:00:00.000Z","2.22700000","2.49000000","2.19700000","2.34600000","7760.90000000"
"2024-05-02T00:00:00.000Z","2.10900000","2.28100000","2.07300000","2.22700000","879.29000000"
"2024-05-01T00:00:00.000Z","2.12900000","2.17700000","2.06300000","2.14900000","483.27000000"
"2024-04-30T00:00:00.000Z","2.36000000","2.36000000","2.09400000","2.17700000","384.53000000"
"2024-04-29T00:00:00.000Z","2.37300000","2.37300000","2.28100000","2.33100000","159.85000000"
"2024-04-28T00:00:00.000Z","2.46800000","2.52900000","2.37800000","2.37800000","240.84000000"
"2024-04-27T00:00:00.000Z","2.42000000","2.45500000","2.30900000","2.45500000","646.67000000"
"2024-04-26T00:00:00.000Z","2.47300000","2.49100000","2.37200000","2.42000000","1335.45000000"
"2024-04-25T00:00:00.000Z","2.45100000","2.52900000","2.39900000","2.47300000","255.42000000"
"2024-04-24T00:00:00.000Z","2.55900000","2.72300000","2.46800000","2.51600000","339.95000000"
"2024-04-23T00:00:00.000Z","2.52700000","2.63800000","2.51900000","2.55900000","57.68000000"
